sovereignt	continent	count
Afghanistan	Asia	29
Albania	Europe	30
Algeria	Africa	30
Andorra	Europe	30
Angola	Africa	32
Antarctica	Antarctica	29
Antigua and Barbuda	North America	31
Argentina	South America	32
Armenia	Asia	29
Australia	Oceania	35
Austria	Europe	36
Azerbaijan	Asia	29
Bahrain	Asia	29
Bangladesh	Asia	30
Barbados	North America	31
Belarus	Europe	30
Belgium	Europe	34
Belize	North America	30
Benin	Africa	31
Bhutan	Asia	30
Bolivia	South America	31
Bosnia and Herzegovina	Europe	30
Botswana	Africa	32
Brazil	South America	34
Brunei	Asia	29
Bulgaria	Europe	34
Burkina Faso	Africa	31
Burundi	Africa	32
Cabo Verde	Africa	31
Cambodia	Asia	30
Cameroon	Africa	31
Canada	North America	36
Central African Republic	Africa	31
Chad	Africa	31
Chile	South America	31
China	Asia	32
Colombia	South America	30
Comoros	Africa	32
Costa Rica	North America	30
Croatia	Europe	35
Cuba	North America	31
Cyprus	Asia	33
Czechia	Europe	37
Democratic Republic of the Congo	Africa	31
Denmark	North America	33
Djibouti	Africa	31
Dominica	North America	31
Dominican Republic	North America	31
East Timor	Asia	30
Ecuador	South America	31
Egypt	Africa	30
El Salvador	North America	30
Equatorial Guinea	Africa	31
Eritrea	Africa	31
Estonia	Europe	34
eSwatini	Africa	32
Ethiopia	Africa	31
Federated States of Micronesia	Oceania	29
Fiji	Oceania	31
Finland	Europe	35
France	Europe	35
Gabon	Africa	32
Gambia	Africa	31
Georgia	Asia	29
Germany	Europe	36
Ghana	Africa	31
Greece	Europe	34
Grenada	North America	31
Guatemala	North America	30
Guinea	Africa	31
Guinea-Bissau	Africa	31
Guyana	South America	30
Haiti	North America	31
Honduras	North America	30
Hungary	Europe	35
Iceland	Europe	31
India	Asia	30
Indonesia	Asia	30
Iran	Asia	29
Iraq	Asia	29
Ireland	Europe	34
Israel	Asia	30
Italy	Europe	35
Ivory Coast	Africa	31
Jamaica	North America	31
Japan	Asia	30
Jordan	Asia	29
Kashmir	Asia	29
Kazakhstan	Asia	29
Kenya	Africa	32
Kiribati	Oceania	30
Kosovo	Europe	30
Kuwait	Asia	29
Kyrgyzstan	Asia	29
Laos	Asia	30
Latvia	Europe	34
Lebanon	Asia	29
Lesotho	Africa	32
Liberia	Africa	31
Libya	Africa	30
Liechtenstein	Europe	30
Lithuania	Europe	34
Luxembourg	Europe	34
Madagascar	Africa	32
Malawi	Africa	32
Malaysia	Asia	30
Maldives	Seven seas (open ocean)	29
Mali	Africa	31
Malta	Europe	34
Marshall Islands	Oceania	29
Mauritania	Africa	31
Mauritius	Seven seas (open ocean)	30
Mexico	North America	32
Moldova	Europe	30
Monaco	Europe	30
Mongolia	Asia	29
Montenegro	Europe	30
Morocco	Africa	30
Mozambique	Africa	32
Myanmar	Asia	30
Namibia	Africa	32
Nauru	Oceania	30
Nepal	Asia	30
Netherlands	Europe	34
New Zealand	Oceania	33
Nicaragua	North America	30
Niger	Africa	31
Nigeria	Africa	31
North Korea	Asia	29
North Macedonia	Europe	30
Northern Cyprus	Asia	29
Norway	Europe	32
Oman	Asia	30
Pakistan	Asia	30
Palau	Oceania	29
Panama	North America	30
Papua New Guinea	Oceania	30
Paraguay	South America	31
Peru	South America	31
Philippines	Asia	30
Poland	Europe	34
Portugal	Europe	34
Qatar	Asia	29
Republic of Serbia	Europe	32
Republic of the Congo	Africa	32
Romania	Europe	34
Russia	Europe	32
Rwanda	Africa	32
Saint Kitts and Nevis	North America	31
Saint Lucia	North America	31
Saint Vincent and the Grenadines	North America	31
Samoa	Oceania	30
San Marino	Europe	30
Saudi Arabia	Asia	30
Senegal	Africa	31
Seychelles	Seven seas (open ocean)	30
Sierra Leone	Africa	31
Singapore	Asia	30
Slovakia	Europe	36
Slovenia	Europe	34
Solomon Islands	Oceania	31
Somalia	Africa	31
Somaliland	Africa	31
South Africa	Africa	33
South Korea	Asia	30
South Sudan	Africa	31
Spain	Europe	36
Sri Lanka	Asia	30
Sudan	Africa	31
Suriname	South America	30
Sweden	Europe	35
Switzerland	Europe	33
Syria	Asia	29
São Tomé and Principe	Africa	31
Taiwan	Asia	29
Tajikistan	Asia	29
Thailand	Asia	29
The Bahamas	North America	30
Togo	Africa	31
Tonga	Oceania	30
Trinidad and Tobago	North America	31
Tunisia	Africa	30
Turkey	Asia	30
Turkmenistan	Asia	29
Tuvalu	Oceania	30
Uganda	Africa	32
Ukraine	Europe	30
United Arab Emirates	Asia	30
United Kingdom	Seven seas (open ocean)	36
United Republic of Tanzania	Africa	31
United States of America	Oceania	37
Uruguay	South America	31
Uzbekistan	Asia	29
Vanuatu	Oceania	30
Vatican	Europe	30
Venezuela	South America	30
Vietnam	Asia	30
Western Sahara	Africa	31
Yemen	Asia	30
Zambia	Africa	32
Zimbabwe	Africa	32
